Token,Attribution_Score,Frequency,Final_Importance
Time,3.0638209198852184e-08,10,7.346721700493521e-08
Network,6.606749503035303e-08,1,4.57944979069474e-08
when,3.90835470653883e-08,2,4.293766509077402e-08
Run,3.350174537786188e-08,2,3.68054291639491e-08
wait,5.203973829637221e-08,1,3.607119787720781e-08
Expired,4.46238699325363e-08,1,3.093090962941125e-08
STATE,2.7919032419276846e-08,2,3.0672192103540884e-08
Timestamp,1.685387293615115e-08,3,2.336442901441747e-08
new,1.2440471729158187e-08,3,1.7246155807803408e-08
Mill,8.28664001827073e-09,5,1.4847665720820723e-08
NETWORK,1.8610561980381135e-08,1,1.2899858565337295e-08
Duration,8.142445676040388e-09,3,1.1287826526419825e-08
Constraint,1.6284241732833493e-08,1,1.1287376244670133e-08
Converter,1.605160970807873e-08,1,1.1126128012603418e-08
Connected,1.5818977683323965e-08,1,1.09648797805367e-08
get,7.45974299345975e-09,3,1.0341399647236865e-08
Identity,1.3957740796488594e-08,1,9.674768680072593e-09
stat,1.39392156150997e-08,1,9.66192800282352e-09
Rate,1.3492482769938974e-08,1,9.35227639073684e-09
Name,8.085985724742839e-09,2,8.883363283197393e-09
Date,6.079432204181279e-09,3,8.427882583467174e-09
yesterday,1.2085631440061915e-08,1,8.377121357965548e-09
duration,5.874201552263925e-09,3,8.143372487985187e-09
min,7.211687802488598e-09,2,7.922848841851889e-09
Days,1.0226303526206236e-08,1,7.0883334567400785e-09
current,5.817232973104325e-09,2,6.390883630297734e-09
Configuration,8.828169889563144e-09,1,6.119221068454897e-09
Instant,4.1298083910956684e-09,3,5.725130085081533e-09
now,3.4904255406115192e-09,4,5.61762319558847e-09
minus,7.678163854718534e-09,1,5.322097627775433e-09
Player,7.662821502329997e-09,1,5.311463119474162e-09
Pause,7.4441284247939166e-09,1,5.15987662937205e-09
cluster,7.434248328053173e-09,1,5.153028268172544e-09
Metadata,6.972479676958797e-09,1,4.832954629595509e-09
Start,6.565034460503938e-09,1,4.550535126577186e-09
IVE,6.040326766543203e-09,1,4.186835467890192e-09
format,3.715834265283213e-09,2,4.082261186494174e-09
db,5.595199824293129e-09,1,3.878296982878283e-09
Timer,5.584786966217337e-09,1,3.871079339661477e-09
FSClient,5.3433659857882185e-09,1,3.7037390677490162e-09
cm,5.119157542310404e-09,1,3.5483296172946353e-09
timestamp,4.880735773871158e-09,1,3.383068240716856e-09
long,2.9667747598882688e-09,2,3.259335208923632e-09
ANY,4.653779583918549e-09,1,3.225754197540578e-09
SIZE,4.653779583918549e-09,1,3.225754197540578e-09
convert,4.653779583918549e-09,1,3.225754197540578e-09
be,4.648319784639198e-09,1,3.221969753063672e-09
time,2.9090885741989148e-09,2,3.1959604564389173e-09
UID,4.2457565692377575e-09,1,2.942934195311018e-09
Off,4.188401625526694e-09,1,2.90317877778652e-09
per,4.187322238946578e-09,1,2.9024306040217783e-09
date,2.5004924936178337e-09,2,2.7470717812109165e-09
ano,2.4434771081494056e-09,2,2.684433978092152e-09
seek,3.7236798089423924e-09,1,2.581058160876415e-09
Worker,3.5809278875476025e-09,1,2.4821100690421016e-09
Hours,3.4900744794175154e-09,1,2.4191352853524695e-09
deletes,3.4317225588997857e-09,1,2.3786888161653473e-09
Database,3.4317225588997857e-09,1,2.3786888161653473e-09
