Token,Attribution_Score,Frequency,Final_Importance
sleep,4.3322918485272366e-08,17,1.2521934005946893e-07
topic,6.183965381434398e-08,4,9.952708334060522e-08
wait,5.058113505818085e-08,5,9.062922770479869e-08
get,3.7681254739727055e-08,10,9.03557026135027e-08
Interrupted,5.298504089298883e-08,4,8.527613360504738e-08
set,4.1530816733987425e-08,5,7.441323414789694e-08
new,3.716168554129817e-08,5,6.65848019610963e-08
pulsar,3.720890154107134e-08,4,5.988541682022785e-08
Time,2.6661389181462103e-08,8,5.8581059575434515e-08
Positive,7.960970971332415e-08,1,5.518124583298633e-08
timer,7.44441530642348e-08,1,5.160075480564736e-08
Future,2.7936222184513082e-08,4,4.496161511393794e-08
Mock,6.463848956084206e-08,1,4.480398679475113e-08
time,6.327959112262249e-08,1,4.386207017363192e-08
Body,6.320207868171224e-08,1,4.380834264375666e-08
Loop,5.955532245138784e-08,1,4.128060384451789e-08
Client,2.3718729619259804e-08,4,3.8173822684010363e-08
mock,2.6865758423477715e-08,3,3.724384940967636e-08
Queue,5.209047104770548e-08,1,3.610636314075651e-08
await,1.96073336455882e-08,5,3.5131625725796496e-08
Thread,1.4299117043203857e-08,9,3.292493374665829e-08
Delay,4.5965148132154354e-08,1,3.186061283182303e-08
event,4.466649183854088e-08,1,3.0960452883388414e-08
Animation,4.461514357956276e-08,1,3.092486098245107e-08
Producer,2.620562555843975e-08,2,2.8789822270737e-08
Sync,4.089526339789984e-08,1,2.8346436522510602e-08
url,4.021950461563506e-08,1,2.7878036227845148e-08
dispatcher,3.4473861099115766e-08,1,2.389545962386727e-08
Unit,1.0903940897769027e-08,7,2.2674107670842636e-08
Call,3.231924478042103e-08,1,2.2401993397375567e-08
bucket,3.008506471724459e-08,1,2.0853377785721575e-08
Cleanup,2.97659834558317e-08,1,2.063220750900372e-08
Main,2.9742009743927156e-08,1,2.061559019818953e-08
Broker,2.95774924552461e-08,1,2.050155550338689e-08
persistent,1.6957227755645676e-08,2,1.8629418794096288e-08
run,1.673041272187703e-08,2,1.838023701074338e-08
Spec,2.6055472224228993e-08,1,1.8060277110382293e-08
send,1.2863531147384866e-08,3,1.7832640693709716e-08
outing,1.581947345341561e-08,2,1.7379467936181328e-08
add,1.5303250167075788e-08,2,1.6812338690111763e-08
Response,2.2982574066077177e-08,1,1.5930306415911513e-08
subscribe,1.4396006053907229e-08,2,1.581562915856298e-08
times,1.4355156202627839e-08,2,1.577075100995718e-08
asks,2.2333261906481994e-08,1,1.5480237523184822e-08
Group,2.233324591927044e-08,1,1.5480226441694207e-08
prod,2.047214209266457e-08,1,1.4190207571553024e-08
Version,1.8611051588734995e-08,1,1.2900197935987353e-08
Upload,1.8513885979842826e-08,1,1.2832847868136355e-08
Transferred,1.8051038830346755e-08,1,1.2512026671432945e-08
Service,6.971099448995627e-09,5,1.249053344866839e-08
true,8.951744935592476e-09,3,1.2409753526395387e-08
Connection,1.1155387613648317e-08,2,1.225544591721006e-08
URL,1.628086984672983e-08,1,1.1285039031324209e-08
Consumers,1.581317871091059e-08,1,1.0960860239158227e-08
iterator,9.764214103924473e-09,2,1.07270856037579e-08
do,1.488883061284696e-08,1,1.0320150961129472e-08
spy,1.488883061284696e-08,1,1.0320150961129472e-08
For,1.487171452652092e-08,1,1.0308286994150357e-08
That,6.2155279534348296e-09,4,1.0003506334051948e-08
spec,1.3958288691551246e-08,1,9.675148451990513e-09
Timeout,1.349160219654699e-08,1,9.351666023772912e-09
transfer,1.2959720185889978e-08,1,8.982993507695448e-09
start,6.397126869894798e-09,3,8.868300907103695e-09
TIMEOUT,1.2303674579161594e-08,1,8.52825734507293e-09
On,1.2082691458470407e-08,1,8.375083518014496e-09
Name,1.2015856309943729e-08,1,8.328756923250924e-09
Throwable,1.1617972556221545e-08,1,8.052964921167785e-09
Datagram,1.1398077717772457e-08,1,7.900545433877114e-09
name,1.1166630953240997e-08,1,7.740118761592411e-09
number,1.1166630953240997e-08,1,7.740118761592411e-09
ocker,1.1166630953240997e-08,1,7.740118761592411e-09
task,1.1166630953240997e-08,1,7.740118761592411e-09
Function,1.1166630953240997e-08,1,7.740118761592411e-09
When,1.1162243795936888e-08,1,7.737077815876395e-09
Responder,6.506768929215312e-09,2,7.148416305159778e-09
Hash,1.0236078373804247e-08,1,7.095108864793043e-09
Invalidate,1.022381584947496e-08,1,7.0866091306276504e-09
Instrumentation,1.022381584947496e-08,1,7.0866091306276504e-09
Snapshot,1.0182637288913554e-08,1,7.058066327474995e-09
Status,9.76964917298595e-09,1,6.771804779315013e-09
web,9.758945984650326e-09,1,6.764385894497173e-09
server,6.0367687515494595e-09,2,6.6320683342998784e-09
Events,9.305766712763843e-09,1,6.450265959900848e-09
Down,5.757293183861201e-09,2,6.325033041255061e-09
join,8.821502528455483e-09,1,6.114599605901347e-09
Grid,5.461821786512112e-09,2,6.000424533177414e-09
put,8.60053717133269e-09,1,5.9614380916102605e-09
SECONDS,4.069858713928731e-09,3,5.64202218567405e-09
Equals,3.3583578548310178e-09,4,5.4050684550858966e-09
Backlog,7.560857877286774e-09,1,5.24078732025578e-09
abc,7.438302418449894e-09,1,5.1558383495007665e-09
Null,7.435502435981789e-09,1,5.153897549547382e-09
namespace,4.667450456512234e-09,2,5.1277184282739185e-09
poll,4.6522282692862404e-09,2,5.110995146327035e-09
deploy,6.512347938691931e-09,1,4.5140156125296835e-09
Rec,6.5063751053529026e-09,1,4.5098755599407815e-09
Event,3.721939312306688e-09,2,4.0889682661770605e-09
Application,5.582012518878798e-09,1,3.869156239311157e-09
STATE,5.576892947445345e-09,1,3.865607622806384e-09
Destroy,5.576626826986342e-09,1,3.865423162160536e-09
Subscribed,5.5714752811297785e-09,1,3.861852382674534e-09
Collectors,5.545779835358644e-09,1,3.8440416568850416e-09
Grpc,3.373301214748548e-09,2,3.7059501679018164e-09
REPLICATION,5.117587020819769e-09,1,3.5472410147513933e-09
INPUT,5.113832912684302e-09,1,3.5446388652817767e-09
SCROLL,5.1121518684915665e-09,1,3.5434736542391855e-09
Return,5.111828849102552e-09,1,3.5432497542604236e-09
Reference,4.8525573559388135e-09,1,3.3635364497744116e-09
Prefix,4.826114990280628e-09,1,3.3452079985711047e-09
WORKSPEC,3.023445258043545e-09,2,3.321594114601962e-09
Mill,4.652276619498962e-09,1,3.224712421990659e-09
COMPLETED,4.6522138918980716e-09,1,3.2246689425309585e-09
Servlet,4.6489390115311835e-09,1,3.2223989684379787e-09
ailing,4.642896067608149e-09,1,3.2182103188954454e-09
CHECK,2.907980252431219e-09,2,3.1947428405251285e-09
Message,4.535969704011488e-09,1,3.1440946114408925e-09
Socket,2.7485739563255095e-09,2,3.0196171247323284e-09
ulsar,4.1876200007617825e-09,1,2.9026369967844653e-09
INGING,4.186509389159099e-09,1,2.901867179483368e-09
Job,4.1858439214781384e-09,1,2.901405912436557e-09
Endpoint,4.071148834716709e-09,1,2.8219053364237936e-09
RMNode,3.9548564839675385e-09,1,2.7412976213813178e-09
ACTOR,3.954499061542549e-09,1,2.7410498750351673e-09
selector,3.779606488896193e-09,1,2.6198235814044704e-09
Instant,3.722241403991689e-09,1,2.5800611345403313e-09
Subscriber,3.664229794586582e-09,1,2.5398505510414368e-09
Work,1.802463445860214e-09,3,2.4987449111207418e-09
serving,3.4867042586483876e-09,1,2.4167992263284843e-09
Result,2.1659284782371557e-09,2,2.3795156425675575e-09
Server,2.151580989762092e-09,2,2.363753315417328e-09
final,3.2570377783702753e-09,1,2.257606553054584e-09
Partition,3.2570377783702753e-09,1,2.257606553054584e-09
BACKLOG,3.2569849317543027e-09,1,2.257569922571721e-09
Interval,3.256961228492728e-09,1,2.25755349272279e-09
plus,3.256961228492728e-09,1,2.25755349272279e-09
xy,3.2542573080718284e-09,1,2.2556792779065853e-09
resources,3.2542573080718284e-09,1,2.2556792779065853e-09
Recursing,3.198585580427293e-09,1,2.2170905768528743e-09
compare,3.140715000571337e-09,1,2.1769777475883493e-09
Manager,1.9335538708337152e-09,2,2.1242260432997103e-09
ID,1.8680402238090148e-09,2,2.0522519456029093e-09
