Project_Group,Test_case,Tokens(Sorted by Importance),Attribution_Scores(Sorted),Predicted_Class,True_Class,Test_Pred_Logit,Test_Confidence_Score
2,"['@Test\npublic void shouldBeAbleToCancelJob() throws Exception {\n    RobustJobSchedulerWrapper robustWrapper = new RobustJobSchedulerWrapper(actualScheduler, log);\n    AtomicInteger count = new AtomicInteger();\n    JobHandle jobHandle = robustWrapper.scheduleRecurring(""JobName"", 1, count::incrementAndGet);\n    assertEventually(""run count"", count::get, Matchers.greaterThanOrEqualTo(100), DEFAULT_TIMEOUT_MS, MILLISECONDS);\n    robustWrapper.cancelAndWaitTermination(jobHandle);\n    int finalCount = count.get();\n    Thread.sleep(50);\n    assertEquals(finalCount, count.get());\n}']",Thread;Than;MILLISECONDS;DEFAULT;greater;increment;count;Atomic;count;Count,3.026798367500305e-09;1.5133991837501526e-09;1.4260876923799515e-09;1.1641532182693481e-09;1.1641532182693481e-09;9.313225746154785e-10;9.022187441587448e-10;8.149072527885437e-10;6.984919309616089e-10;6.111804395914078e-10,0,1,"[-0.0010751663940027356, -7.459616661071777, -9.096115112304688, -8.57240104675293, -8.555841445922852, -12.215896606445312]",0.9989253878593445
2,"['@Test\npublic void getNanoTime() {\n    if (Build.VERSION.SDK_INT >= Build.VERSION_CODES.LOLLIPOP) {\n        long time = mRecyclerView.getNanoTime();\n        assertNotEquals(0, time);\n        assertNotEquals(time, mRecyclerView.getNanoTime());\n    } else {\n        assertEquals(0, mRecyclerView.getNanoTime());\n    }\n}']",cler;ano;long;VERSION;Build;time;INT;VERSION;Rec;ODES,2.444721758365631e-09;1.862645149230957e-09;1.862645149230957e-09;1.1641532182693481e-09;1.0477378964424133e-09;9.313225746154785e-10;8.149072527885437e-10;6.984919309616089e-10;6.402842700481415e-10;5.820766091346741e-10,2,2,"[-10.25472354888916, -9.007050514221191, -0.0005367745761759579, -8.646735191345215, -9.529976844787598, -8.944072723388672]",0.9994633793830872
2,"['@Test\n@LargeTest\npublic void testTimer_withListenerAndCleanUp() throws InterruptedException {\n    TestTimeLimitExceededListener listenerSpy = spy(mListener);\n    mWorkTimer.startTimer(WORKSPEC_ID_1, 0, listenerSpy);\n    Thread.sleep(10);\n    verify(listenerSpy, times(1)).onTimeLimitExceeded(WORKSPEC_ID_1);\n    assertThat(mWorkTimer.getTimerMap().size(), is(0));\n    assertThat(mWorkTimer.getListeners().size(), is(0));\n}']",sleep;Thread;on;Time;Large;Listener;verify;Work;WORKSPEC;That,2.561137080192566e-09;1.3969838619232178e-09;1.1641532182693481e-09;9.313225746154785e-10;9.313225746154785e-10;8.149072527885437e-10;6.984919309616089e-10;6.402842700481415e-10;5.820766091346741e-10;5.820766091346741e-10,0,0,"[-0.0011076750233769417, -7.506418228149414, -9.004887580871582, -8.445941925048828, -8.44601821899414, -12.154330253601074]",0.9988929629325867
2,"['@Test\npublic void recurringJobWithExceptionShouldKeepRunning() throws Exception\n{\n    RobustJobSchedulerWrapper robustWrapper = new RobustJobSchedulerWrapper( actualScheduler, log );\n    AtomicInteger count = new AtomicInteger();\n    IllegalStateException e = new IllegalStateException();\n    int nRuns = 100;\n    JobHandle jobHandle = robustWrapper.scheduleRecurring( ""JobName"", 1, () -> {\n        if ( count.get() < nRuns )\n        {\n            count.incrementAndGet();\n            throw e;\n        }\n    }\n    );\n    assertEventually( ""run count"", count::get, Matchers.equalTo( nRuns ), DEFAULT_TIMEOUT_MS , MILLISECONDS );\n    robustWrapper.cancelAndWaitTermination( jobHandle );\n    verify( log, timeout( DEFAULT_TIMEOUT_MS ).times( nRuns ) ).warn( ""Uncaught exception"", e );\n}']",timeout;Recurring;log;MILLISECONDS;Wrapper;Wait;TIMEOUT;Robust;increment;Robust,9.313225746154785e-09;5.587935447692871e-09;3.725290298461914e-09;2.3283064365386963e-09;2.2118911147117615e-09;1.7462298274040222e-09;1.7462298274040222e-09;1.6298145055770874e-09;1.57160684466362e-09;1.4551915228366852e-09,0,1,"[-0.007085671182721853, -5.017123222351074, -9.05738353729248, -8.420794486999512, -9.266451835632324, -12.055070877075195]",0.9929392337799072
2,"['@Test\npublic void testFireObjectEvent() throws Exception {\n    final NamingEventCoordinator coordinator = new NamingEventCoordinator();\n    final CollectingListener objectListener = new CollectingListener(1);\n    coordinator.addListener(""test/path"", EventContext.OBJECT_SCOPE, objectListener);\n    final CollectingListener subtreeListener = new CollectingListener(0);\n    coordinator.addListener(""test"", EventContext.SUBTREE_SCOPE, subtreeListener);\n    final CollectingListener oneLevelListener = new CollectingListener(0);\n    coordinator.addListener(""test"", EventContext.ONELEVEL_SCOPE, oneLevelListener);\n    coordinator.fireEvent(context, new CompositeName(""test/path""), null, null, NamingEvent.OBJECT_ADDED, ""bind"", EventContext.OBJECT_SCOPE);\n    objectListener.latch.await(1, TimeUnit.SECONDS);\n    assertEquals(1, objectListener.capturedEvents.size());\n    assertTrue(oneLevelListener.capturedEvents.isEmpty());\n    assertTrue(subtreeListener.capturedEvents.isEmpty());\n}']",atch;Event;Listener;Listener;Equals;Listener;Fire;captured;subtree;OBJECT,1.0244548320770264e-08;7.450580596923828e-09;5.587935447692871e-09;4.6566128730773926e-09;4.6566128730773926e-09;4.6566128730773926e-09;3.725290298461914e-09;3.259629011154175e-09;2.9103830456733704e-09;2.7939677238464355e-09,0,4,"[-0.0022011594846844673, -6.379887580871582, -9.106470108032227, -8.19175910949707, -9.098593711853027, -12.508461952209473]",0.9978012442588806
2,"['@Test\npublic void testCreateSubcontext() throws Exception {\n    assertTrue(namingContext.createSubcontext(new CompositeName(""test"")) instanceof NamingContext);\n    assertTrue(testActionPermission(JndiPermission.ACTION_CREATE_SUBCONTEXT, namingContext, ""securitytest"") instanceof NamingContext);\n}']",Create;Action;aming;Subcontext;Permission;security;Composite;True;CREATE;Context,3.026798367500305e-09;3.026798367500305e-09;2.6775524020195007e-09;1.979060471057892e-09;1.862645149230957e-09;1.3387762010097504e-09;1.1641532182693481e-09;1.1641532182693481e-09;9.313225746154785e-10;6.984919309616089e-10,4,4,"[-8.367982864379883, -10.352422714233398, -8.529186248779297, -7.777024269104004, -0.0009489324293099344, -9.603337287902832]",0.9990515112876892
2,"['@Test\npublic void shouldTogglePrepareForBulkLoadDuringRestoreCalls() throws Exception {\n    final List<KeyValue<byte[], byte[]>> entries = new ArrayList<>();\n    entries.add(new KeyValue<>(""1"".getBytes(""UTF-8""), ""a"".getBytes(""UTF-8"")));\n    entries.add(new KeyValue<>(""2"".getBytes(""UTF-8""), ""b"".getBytes(""UTF-8"")));\n    entries.add(new KeyValue<>(""3"".getBytes(""UTF-8""), ""c"".getBytes(""UTF-8"")));\n    final AtomicReference<Exception> conditionNotMet = new AtomicReference<>();\n    final AtomicInteger conditionCheckCount = new AtomicInteger();\n    Thread conditionCheckThread = new Thread(new Runnable() {\n        @Override\n        public void run() {\n            assertRocksDBTurnsOnBulkLoading(conditionCheckCount, conditionNotMet);\n            assertRockDBTurnsOffBulkLoad(conditionCheckCount, conditionNotMet);\n        }\n    });\n    subject.init(context, subject);\n    conditionCheckThread.start();\n    context.restore(subject.name(), entries);\n    conditionCheckThread.join(2000);\n    assertTrue(conditionNotMet.get() == null);\n    assertTrue(conditionCheckCount.get() == 2);\n}']",byte;ulk;restore;Atomic;During;new;ulk;UTF;should;join,3.259629011154175e-09;1.8044374883174896e-09;1.6298145055770874e-09;1.3969838619232178e-09;9.604264050722122e-10;9.313225746154785e-10;9.313225746154785e-10;9.313225746154785e-10;8.149072527885437e-10;8.149072527885437e-10,3,1,"[-7.208585739135742, -5.291801452636719, -6.663148880004883, -0.007907632738351822, -7.6545634269714355, -7.950331687927246]",0.992123544216156
2,"['@Test\npublic void testLookupContextLink() throws Exception {\n    final Name name = new CompositeName(""test/value"");\n    namingStore.bind(name, ""testValue"");\n    final Name linkName = new CompositeName(""link"");\n    namingStore.bind(linkName, new LinkRef(""./test""));\n    Object result = namingContext.lookup(""link/value"");\n    assertEquals(""testValue"", result);\n    result = testActionPermission(JndiPermission.ACTION_LOOKUP, Arrays.asList(new JndiPermission(""test"", ""lookup""),\n    new JndiPermission(""test/value"", ""lookup"")), namingContext, ""link/value"");\n    assertEquals(""testValue"", result);\n}']",Permission;link;Store;Arrays;value;naming;Composite;Composite;Context;bind,3.899913281202316e-09;3.259629011154175e-09;2.3283064365386963e-09;2.2118911147117615e-09;1.862645149230957e-09;1.862645149230957e-09;1.6298145055770874e-09;1.3969838619232178e-09;1.3969838619232178e-09;1.3969838619232178e-09,4,4,"[-8.53065013885498, -10.445964813232422, -8.589353561401367, -7.479549884796143, -0.0010432521812617779, -9.630569458007812]",0.9989572763442993
2,"['@Test\nvoid testTimedMethod() throws InterruptedException {\n    assertTrue(Jobs.latch01.await(5, TimeUnit.SECONDS));\n    assertTrue(Jobs.latch02.await(5, TimeUnit.SECONDS));\n    Timer timer1 = registry.get(""scheduled.methods"")\n    .tag(""method"", ""everySecond"")\n    .tag(""class"", ""io.quarkus.scheduler.test.metrics.MicrometerTimedTest$Jobs"")\n    .tag(""exception"", ""none"")\n    .timer();\n    assertNotNull(timer1);\n    assertTrue(timer1.count() > 0);\n    Timer timer2 = registry.get(""foo"")\n    .tag(""method"", ""anotherEverySecond"")\n    .tag(""class"", ""io.quarkus.scheduler.test.metrics.MicrometerTimedTest$Jobs"")\n    .tag(""exception"", ""none"")\n    .timer();\n    assertNotNull(timer2);\n    assertTrue(timer2.count() > 0);\n}']",Timed;Every;timer;method;count;Unit;Null;SECONDS;Unit;io,3.4458935260772705e-08;1.862645149230957e-08;1.6763806343078613e-08;1.30385160446167e-08;1.210719347000122e-08;1.1175870895385742e-08;1.0011717677116394e-08;9.778887033462524e-09;9.313225746154785e-09;9.313225746154785e-09,0,2,"[-0.004934513941407204, -5.448872089385986, -8.756574630737305, -7.930822849273682, -9.21174430847168, -12.33775520324707]",0.9950776696205139
2,"['@Test\npublic void testLookupEmptyName() throws Exception {\n    Object result = namingContext.lookup(new CompositeName());\n    assertTrue(result instanceof NamingContext);\n    result = namingContext.lookup(new CompositeName(""""));\n    assertTrue(result instanceof NamingContext);\n    result = testActionPermission(JndiPermission.ACTION_LOOKUP, namingContext, null);\n    assertTrue(result instanceof NamingContext);\n    result = testActionPermission(JndiPermission.ACTION_LOOKUP, namingContext, """");\n    assertTrue(result instanceof NamingContext);\n}']",lookup;Composite;aming;Permission;OOKUP;Action;Empty;aming;Context;new,3.4924596548080444e-09;2.7939677238464355e-09;2.7939677238464355e-09;1.979060471057892e-09;1.7462298274040222e-09;1.3969838619232178e-09;1.3969838619232178e-09;1.1641532182693481e-09;1.1059455573558807e-09;9.313225746154785e-10,4,4,"[-8.666357040405273, -10.584980010986328, -8.463911056518555, -7.478872776031494, -0.001039560534991324, -9.631392478942871]",0.9989609718322754
