Token,Attribution_Score,Frequency,Final_Importance
Permission,1.271162682336957e-07,18,3.742860950734704e-07
naming,4.700881603425522e-08,14,1.2730223371514164e-07
Action,2.7983055247982058e-08,8,6.148505673982345e-08
Name,2.37660016562391e-08,10,5.698838302481398e-08
Composite,2.3570894661442687e-08,10,5.652053688430177e-08
Context,2.124751775217648e-08,11,5.2798098153871925e-08
ACTION,2.2509515765212207e-08,6,4.3801495177847007e-08
new,1.826628900913896e-08,9,4.205968477676434e-08
bind,2.081467982695262e-08,6,4.0503496724604e-08
MEAMessage,5.769811806111136e-08,1,3.99932878576742e-08
OOKUP,1.4449075855932358e-08,6,2.8116603352528865e-08
Equals,1.2556797254759111e-08,8,2.7590103540784685e-08
Exception,1.2243104882334044e-08,8,2.690085095036942e-08
Store,1.6389757023782536e-08,4,2.6378296329658696e-08
catch,1.727165001297326e-08,3,2.3943591020221116e-08
get,1.2716010744373563e-08,5,2.278403266203702e-08
lookup,1.2306060035577326e-08,5,2.204949959763461e-08
name,1.2846143267186694e-08,4,2.0675070002770324e-08
job,1.8216095187817416e-08,2,2.0012426024884227e-08
OWNER,1.8142562452361233e-08,2,1.9931642058092684e-08
Instance,2.5029171735191372e-08,1,1.7348899819998573e-08
finally,1.5119236279614867e-08,2,1.6610178772061603e-08
Reference,1.0229271846240451e-08,4,1.6463377925934147e-08
Object,9.030410613730666e-09,5,1.6180323728169453e-08
URI,1.1383095091521689e-08,3,1.5780320537468024e-08
ODE,2.2248152653503442e-08,1,1.5421244284443178e-08
Job,1.3693734701725191e-08,2,1.5044105221076224e-08
Writable,1.0817988956024482e-08,3,1.499691708839399e-08
List,7.316804120915954e-09,6,1.4237843397540093e-08
addr,1.2560825712881753e-08,2,1.3799477483990262e-08
dir,9.925997537796327e-09,3,1.3760354415136966e-08
Path,1.250269765495915e-08,2,1.3735617285240077e-08
Null,1.0990627352658322e-08,2,1.2074438269802285e-08
port,1.0703288838564973e-08,2,1.1758764647211696e-08
Listener,1.6686114490127583e-08,1,1.1565933213332382e-08
unfragmented,1.6633531108034557e-08,1,1.1529485190290295e-08
Enumeration,9.955379715043124e-09,2,1.09371024933036e-08
Already,1.4832101769002294e-08,1,1.0280829522962117e-08
FO,9.303931625126438e-09,2,1.022141361629176e-08
Bind,9.296609704279035e-09,2,1.0213369664072149e-08
Message,9.072471801596649e-09,2,9.967129009828981e-09
Rebind,1.4171847029231799e-08,1,9.823175811638858e-09
reset,8.807734208637896e-09,2,9.67628503693208e-09
Continuations,8.574206372680138e-09,2,9.419728486602816e-09
Fragmented,1.302860730412192e-08,1,9.030742419474818e-09
HTTP,1.2559653317367747e-08,1,8.705688285743817e-09
telnet,7.91091978036285e-09,2,8.691033685374248e-09
HTTPS,1.2533161869443532e-08,1,8.687325813306198e-09
thrown,7.906123367096285e-09,2,8.68576428681807e-09
create,4.769472299742672e-09,5,8.545747156284841e-09
result,4.593193634466752e-09,5,8.22989818855383e-09
True,5.0007543939134536e-09,4,8.048403712335723e-09
Add,5.640540059331788e-09,3,7.819448877922511e-09
ested,6.745116007400575e-09,2,7.410267334222247e-09
rebind,1.0467480007769757e-08,1,7.255504254953201e-09
item,6.508618088929552e-09,2,7.150447814745552e-09
Owner,6.280378883616322e-09,2,6.899701419032594e-09
store,6.280167386130131e-09,2,6.899469065295243e-09
as,6.136067785822431e-09,2,6.74115947360504e-09
Results,9.720445864891404e-09,1,6.737699645035056e-09
Referenceable,5.7279813097527166e-09,2,6.292830656155588e-09
Ref,5.582157514005814e-09,2,6.132626842167813e-09
value,5.580169215591013e-09,2,6.1304424730957725e-09
can,8.840198351123261e-09,1,6.127558562671766e-09
IND,4.36005162529618e-09,3,6.044314982339708e-09
ft,8.718721300482457e-09,1,6.0433570875173545e-09
xml,5.46634280201852e-09,2,6.005391376370013e-09
checking,8.37553326693552e-09,1,5.805477269662383e-09
File,5.188682428158842e-09,2,5.700350277571589e-09
Root,8.170632836979053e-09,1,5.6634511143425374e-09
Not,4.0850812177417595e-09,3,5.663125056872177e-09
reference,5.114489415314338e-09,2,5.618840921927307e-09
session,8.071158144606906e-09,1,5.594500511787716e-09
link,4.884345178313153e-09,2,5.366001634991659e-09
False,7.489746767230798e-09,1,5.191496854813993e-09
check,3.718155255905131e-09,3,5.154457665029567e-09
verify,7.416050884501147e-09,1,5.140414761481058e-09
Model,3.692672801217101e-09,3,5.119131481788058e-09
Service,4.6537028675075476e-09,2,5.112615158053811e-09
with,4.6526591468420975e-09,2,5.111468513704811e-09
pop,4.651994761628586e-09,2,5.1107386119448376e-09
ACTORY,4.419244165054792e-09,2,4.855035946354034e-09
deployment,6.980461098038405e-09,1,4.8384869291137e-09
Session,6.980461098038405e-09,1,4.8384869291137e-09
fg,6.9777550404381836e-09,1,4.836611232917674e-09
Bindings,4.35502676282562e-09,2,4.7844859191187225e-09
jobs,6.808860697482544e-09,1,4.719542595285448e-09
Total,6.7679868376302466e-09,1,4.691210994570226e-09
ID,6.51430365206096e-09,1,4.515371209737409e-09
accept,6.51430365206096e-09,1,4.515371209737409e-09
ais,6.513830363985561e-09,1,4.515043151442354e-09
global,6.512687555915163e-09,1,4.514251017250436e-09
from,6.04899624834232e-09,1,4.1928446947561655e-09
interfaces,6.047792183716539e-09,1,4.1920101007555934e-09
FSConfig,5.930947399868103e-09,1,4.111019468267914e-09
boss,3.721753516483517e-09,2,4.0887641486025416e-09
