Token,Attribution_Score,Frequency,Final_Importance
Time,3.0638209198852184e-08,10,3.0638209198852184e-07
when,3.90835470653883e-08,2,7.81670941307766e-08
Run,3.350174537786188e-08,2,6.700349075572376e-08
Network,6.606749503035303e-08,1,6.606749503035303e-08
STATE,2.7919032419276846e-08,2,5.583806483855369e-08
wait,5.203973829637221e-08,1,5.203973829637221e-08
Timestamp,1.685387293615115e-08,3,5.0561618808453446e-08
Expired,4.46238699325363e-08,1,4.46238699325363e-08
Mill,8.28664001827073e-09,5,4.143320009135365e-08
new,1.2440471729158187e-08,3,3.732141518747456e-08
Duration,8.142445676040388e-09,3,2.4427337028121165e-08
get,7.45974299345975e-09,3,2.237922898037925e-08
NETWORK,1.8610561980381135e-08,1,1.8610561980381135e-08
Date,6.079432204181279e-09,3,1.8238296612543836e-08
duration,5.874201552263925e-09,3,1.7622604656791774e-08
Constraint,1.6284241732833493e-08,1,1.6284241732833493e-08
Name,8.085985724742839e-09,2,1.6171971449485678e-08
Converter,1.605160970807873e-08,1,1.605160970807873e-08
Connected,1.5818977683323965e-08,1,1.5818977683323965e-08
min,7.211687802488598e-09,2,1.4423375604977196e-08
now,3.4904255406115192e-09,4,1.3961702162446077e-08
Identity,1.3957740796488594e-08,1,1.3957740796488594e-08
stat,1.39392156150997e-08,1,1.39392156150997e-08
Rate,1.3492482769938974e-08,1,1.3492482769938974e-08
Instant,4.1298083910956684e-09,3,1.2389425173287005e-08
yesterday,1.2085631440061915e-08,1,1.2085631440061915e-08
current,5.817232973104325e-09,2,1.163446594620865e-08
Days,1.0226303526206236e-08,1,1.0226303526206236e-08
Configuration,8.828169889563144e-09,1,8.828169889563144e-09
minus,7.678163854718534e-09,1,7.678163854718534e-09
Player,7.662821502329997e-09,1,7.662821502329997e-09
Pause,7.4441284247939166e-09,1,7.4441284247939166e-09
cluster,7.434248328053173e-09,1,7.434248328053173e-09
format,3.715834265283213e-09,2,7.431668530566426e-09
Metadata,6.972479676958797e-09,1,6.972479676958797e-09
Start,6.565034460503938e-09,1,6.565034460503938e-09
IVE,6.040326766543203e-09,1,6.040326766543203e-09
long,2.9667747598882688e-09,2,5.9335495197765376e-09
time,2.9090885741989148e-09,2,5.8181771483978295e-09
db,5.595199824293129e-09,1,5.595199824293129e-09
Timer,5.584786966217337e-09,1,5.584786966217337e-09
FSClient,5.3433659857882185e-09,1,5.3433659857882185e-09
cm,5.119157542310404e-09,1,5.119157542310404e-09
date,2.5004924936178337e-09,2,5.000984987235667e-09
ano,2.4434771081494056e-09,2,4.886954216298811e-09
timestamp,4.880735773871158e-09,1,4.880735773871158e-09
