Token,Attribution_Score,Frequency,Final_Importance
Permission,1.271162682336957e-07,18,2.2880928282065227e-06
naming,4.700881603425522e-08,14,6.581234244795731e-07
aming,3.1917409722137524e-08,9,2.872566874992377e-07
Name,2.37660016562391e-08,10,2.37660016562391e-07
Composite,2.3570894661442687e-08,10,2.3570894661442687e-07
Context,2.124751775217648e-08,11,2.337226952739413e-07
Action,2.7983055247982058e-08,8,2.2386444198385647e-07
new,1.826628900913896e-08,9,1.6439660108225063e-07
ACTION,2.2509515765212207e-08,6,1.3505709459127324e-07
bind,2.081467982695262e-08,6,1.2488807896171572e-07
Equals,1.2556797254759111e-08,8,1.0045437803807289e-07
Exception,1.2243104882334044e-08,8,9.794483905867235e-08
OOKUP,1.4449075855932358e-08,6,8.669445513559415e-08
Store,1.6389757023782536e-08,4,6.555902809513015e-08
get,1.2716010744373563e-08,5,6.358005372186781e-08
lookup,1.2306060035577326e-08,5,6.153030017788663e-08
MEAMessage,5.769811806111136e-08,1,5.769811806111136e-08
catch,1.727165001297326e-08,3,5.181495003891978e-08
name,1.2846143267186694e-08,4,5.1384573068746775e-08
Object,9.030410613730666e-09,5,4.515205306865333e-08
List,7.316804120915954e-09,6,4.3900824725495724e-08
Reference,1.0229271846240451e-08,4,4.0917087384961803e-08
job,1.8216095187817416e-08,2,3.643219037563483e-08
OWNER,1.8142562452361233e-08,2,3.6285124904722466e-08
URI,1.1383095091521689e-08,3,3.4149285274565067e-08
Writable,1.0817988956024482e-08,3,3.245396686807345e-08
finally,1.5119236279614867e-08,2,3.0238472559229734e-08
dir,9.925997537796327e-09,3,2.977799261338898e-08
Job,1.3693734701725191e-08,2,2.7387469403450382e-08
addr,1.2560825712881753e-08,2,2.5121651425763506e-08
Instance,2.5029171735191372e-08,1,2.5029171735191372e-08
Path,1.250269765495915e-08,2,2.50053953099183e-08
create,4.769472299742672e-09,5,2.384736149871336e-08
result,4.593193634466752e-09,5,2.296596817233376e-08
ODE,2.2248152653503442e-08,1,2.2248152653503442e-08
Null,1.0990627352658322e-08,2,2.1981254705316644e-08
port,1.0703288838564973e-08,2,2.1406577677129945e-08
True,5.0007543939134536e-09,4,2.0003017575653814e-08
Enumeration,9.955379715043124e-09,2,1.9910759430086248e-08
FO,9.303931625126438e-09,2,1.8607863250252876e-08
Bind,9.296609704279035e-09,2,1.859321940855807e-08
Message,9.072471801596649e-09,2,1.8144943603193298e-08
reset,8.807734208637896e-09,2,1.7615468417275792e-08
Continuations,8.574206372680138e-09,2,1.7148412745360275e-08
Add,5.640540059331788e-09,3,1.6921620177995363e-08
Listener,1.6686114490127583e-08,1,1.6686114490127583e-08
unfragmented,1.6633531108034557e-08,1,1.6633531108034557e-08
telnet,7.91091978036285e-09,2,1.58218395607257e-08
thrown,7.906123367096285e-09,2,1.581224673419257e-08
Already,1.4832101769002294e-08,1,1.4832101769002294e-08
Rebind,1.4171847029231799e-08,1,1.4171847029231799e-08
ested,6.745116007400575e-09,2,1.349023201480115e-08
IND,4.36005162529618e-09,3,1.3080154875888539e-08
Fragmented,1.302860730412192e-08,1,1.302860730412192e-08
item,6.508618088929552e-09,2,1.3017236177859104e-08
Owner,6.280378883616322e-09,2,1.2560757767232644e-08
store,6.280167386130131e-09,2,1.2560334772260262e-08
HTTP,1.2559653317367747e-08,1,1.2559653317367747e-08
HTTPS,1.2533161869443532e-08,1,1.2533161869443532e-08
as,6.136067785822431e-09,2,1.2272135571644862e-08
Not,4.0850812177417595e-09,3,1.2255243653225278e-08
Referenceable,5.7279813097527166e-09,2,1.1455962619505433e-08
Ref,5.582157514005814e-09,2,1.1164315028011629e-08
value,5.580169215591013e-09,2,1.1160338431182026e-08
check,3.718155255905131e-09,3,1.1154465767715394e-08
Model,3.692672801217101e-09,3,1.1078018403651304e-08
xml,5.46634280201852e-09,2,1.093268560403704e-08
rebind,1.0467480007769757e-08,1,1.0467480007769757e-08
File,5.188682428158842e-09,2,1.0377364856317683e-08
reference,5.114489415314338e-09,2,1.0228978830628677e-08
link,4.884345178313153e-09,2,9.768690356626307e-09
Results,9.720445864891404e-09,1,9.720445864891404e-09
Service,4.6537028675075476e-09,2,9.307405735015095e-09
with,4.6526591468420975e-09,2,9.305318293684195e-09
pop,4.651994761628586e-09,2,9.303989523257172e-09
can,8.840198351123261e-09,1,8.840198351123261e-09
ACTORY,4.419244165054792e-09,2,8.838488330109584e-09
ft,8.718721300482457e-09,1,8.718721300482457e-09
Bindings,4.35502676282562e-09,2,8.71005352565124e-09
checking,8.37553326693552e-09,1,8.37553326693552e-09
