Token,Attribution_Score,Frequency,Final_Importance
sleep,4.3322918485272366e-08,17,7.364896142496302e-07
get,3.7681254739727055e-08,10,3.7681254739727055e-07
wait,5.058113505818085e-08,5,2.5290567529090424e-07
topic,6.183965381434398e-08,4,2.473586152573759e-07
Time,2.6661389181462103e-08,8,2.1329111345169682e-07
Interrupted,5.298504089298883e-08,4,2.1194016357195533e-07
set,4.1530816733987425e-08,5,2.0765408366993712e-07
new,3.716168554129817e-08,5,1.8580842770649086e-07
pulsar,3.720890154107134e-08,4,1.4883560616428537e-07
Thread,1.4299117043203857e-08,9,1.2869205338883472e-07
Future,2.7936222184513082e-08,4,1.1174488873805233e-07
await,1.96073336455882e-08,5,9.803666822794099e-08
Client,2.3718729619259804e-08,4,9.487491847703922e-08
mock,2.6865758423477715e-08,3,8.059727527043314e-08
Positive,7.960970971332415e-08,1,7.960970971332415e-08
Unit,1.0903940897769027e-08,7,7.632758628438319e-08
timer,7.44441530642348e-08,1,7.44441530642348e-08
Mock,6.463848956084206e-08,1,6.463848956084206e-08
time,6.327959112262249e-08,1,6.327959112262249e-08
Body,6.320207868171224e-08,1,6.320207868171224e-08
Loop,5.955532245138784e-08,1,5.955532245138784e-08
Producer,2.620562555843975e-08,2,5.24112511168795e-08
Queue,5.209047104770548e-08,1,5.209047104770548e-08
Delay,4.5965148132154354e-08,1,4.5965148132154354e-08
event,4.466649183854088e-08,1,4.466649183854088e-08
Animation,4.461514357956276e-08,1,4.461514357956276e-08
Sync,4.089526339789984e-08,1,4.089526339789984e-08
url,4.021950461563506e-08,1,4.021950461563506e-08
send,1.2863531147384866e-08,3,3.85905934421546e-08
Service,6.971099448995627e-09,5,3.4855497244978134e-08
dispatcher,3.4473861099115766e-08,1,3.4473861099115766e-08
persistent,1.6957227755645676e-08,2,3.391445551129135e-08
run,1.673041272187703e-08,2,3.346082544375406e-08
Call,3.231924478042103e-08,1,3.231924478042103e-08
outing,1.581947345341561e-08,2,3.163894690683122e-08
add,1.5303250167075788e-08,2,3.0606500334151576e-08
bucket,3.008506471724459e-08,1,3.008506471724459e-08
Cleanup,2.97659834558317e-08,1,2.97659834558317e-08
Main,2.9742009743927156e-08,1,2.9742009743927156e-08
Broker,2.95774924552461e-08,1,2.95774924552461e-08
subscribe,1.4396006053907229e-08,2,2.8792012107814458e-08
times,1.4355156202627839e-08,2,2.8710312405255678e-08
true,8.951744935592476e-09,3,2.6855234806777428e-08
Spec,2.6055472224228993e-08,1,2.6055472224228993e-08
That,6.2155279534348296e-09,4,2.4862111813739318e-08
Response,2.2982574066077177e-08,1,2.2982574066077177e-08
asks,2.2333261906481994e-08,1,2.2333261906481994e-08
Group,2.233324591927044e-08,1,2.233324591927044e-08
Connection,1.1155387613648317e-08,2,2.2310775227296634e-08
prod,2.047214209266457e-08,1,2.047214209266457e-08
iterator,9.764214103924473e-09,2,1.9528428207848947e-08
start,6.397126869894798e-09,3,1.9191380609684394e-08
Version,1.8611051588734995e-08,1,1.8611051588734995e-08
Upload,1.8513885979842826e-08,1,1.8513885979842826e-08
Transferred,1.8051038830346755e-08,1,1.8051038830346755e-08
URL,1.628086984672983e-08,1,1.628086984672983e-08
Consumers,1.581317871091059e-08,1,1.581317871091059e-08
spy,1.488883061284696e-08,1,1.488883061284696e-08
do,1.488883061284696e-08,1,1.488883061284696e-08
For,1.487171452652092e-08,1,1.487171452652092e-08
spec,1.3958288691551246e-08,1,1.3958288691551246e-08
Timeout,1.349160219654699e-08,1,1.349160219654699e-08
Equals,3.3583578548310178e-09,4,1.3433431419324071e-08
Responder,6.506768929215312e-09,2,1.3013537858430624e-08
transfer,1.2959720185889978e-08,1,1.2959720185889978e-08
TIMEOUT,1.2303674579161594e-08,1,1.2303674579161594e-08
SECONDS,4.069858713928731e-09,3,1.2209576141786194e-08
On,1.2082691458470407e-08,1,1.2082691458470407e-08
server,6.0367687515494595e-09,2,1.2073537503098919e-08
Name,1.2015856309943729e-08,1,1.2015856309943729e-08
Throwable,1.1617972556221545e-08,1,1.1617972556221545e-08
Down,5.757293183861201e-09,2,1.1514586367722401e-08
Datagram,1.1398077717772457e-08,1,1.1398077717772457e-08
task,1.1166630953240997e-08,1,1.1166630953240997e-08
ocker,1.1166630953240997e-08,1,1.1166630953240997e-08
number,1.1166630953240997e-08,1,1.1166630953240997e-08
name,1.1166630953240997e-08,1,1.1166630953240997e-08
Function,1.1166630953240997e-08,1,1.1166630953240997e-08
When,1.1162243795936888e-08,1,1.1162243795936888e-08
Grid,5.461821786512112e-09,2,1.0923643573024224e-08
Hash,1.0236078373804247e-08,1,1.0236078373804247e-08
Instrumentation,1.022381584947496e-08,1,1.022381584947496e-08
Invalidate,1.022381584947496e-08,1,1.022381584947496e-08
Snapshot,1.0182637288913554e-08,1,1.0182637288913554e-08
Status,9.76964917298595e-09,1,9.76964917298595e-09
web,9.758945984650326e-09,1,9.758945984650326e-09
namespace,4.667450456512234e-09,2,9.334900913024469e-09
Events,9.305766712763843e-09,1,9.305766712763843e-09
poll,4.6522282692862404e-09,2,9.304456538572481e-09
join,8.821502528455483e-09,1,8.821502528455483e-09
put,8.60053717133269e-09,1,8.60053717133269e-09
Backlog,7.560857877286774e-09,1,7.560857877286774e-09
Event,3.721939312306688e-09,2,7.443878624613376e-09
abc,7.438302418449894e-09,1,7.438302418449894e-09
Null,7.435502435981789e-09,1,7.435502435981789e-09
Grpc,3.373301214748548e-09,2,6.746602429497096e-09
deploy,6.512347938691931e-09,1,6.512347938691931e-09
Rec,6.5063751053529026e-09,1,6.5063751053529026e-09
WORKSPEC,3.023445258043545e-09,2,6.04689051608709e-09
CHECK,2.907980252431219e-09,2,5.815960504862438e-09
Application,5.582012518878798e-09,1,5.582012518878798e-09
STATE,5.576892947445345e-09,1,5.576892947445345e-09
Destroy,5.576626826986342e-09,1,5.576626826986342e-09
Subscribed,5.5714752811297785e-09,1,5.5714752811297785e-09
Collectors,5.545779835358644e-09,1,5.545779835358644e-09
Socket,2.7485739563255095e-09,2,5.497147912651019e-09
Work,1.802463445860214e-09,3,5.407390337580642e-09
REPLICATION,5.117587020819769e-09,1,5.117587020819769e-09
INPUT,5.113832912684302e-09,1,5.113832912684302e-09
SCROLL,5.1121518684915665e-09,1,5.1121518684915665e-09
Return,5.111828849102552e-09,1,5.111828849102552e-09
Reference,4.8525573559388135e-09,1,4.8525573559388135e-09
Prefix,4.826114990280628e-09,1,4.826114990280628e-09
Mill,4.652276619498962e-09,1,4.652276619498962e-09
COMPLETED,4.6522138918980716e-09,1,4.6522138918980716e-09
Servlet,4.6489390115311835e-09,1,4.6489390115311835e-09
ailing,4.642896067608149e-09,1,4.642896067608149e-09
Message,4.535969704011488e-09,1,4.535969704011488e-09
Result,2.1659284782371557e-09,2,4.3318569564743115e-09
Server,2.151580989762092e-09,2,4.303161979524184e-09
ulsar,4.1876200007617825e-09,1,4.1876200007617825e-09
INGING,4.186509389159099e-09,1,4.186509389159099e-09
Job,4.1858439214781384e-09,1,4.1858439214781384e-09
Endpoint,4.071148834716709e-09,1,4.071148834716709e-09
RMNode,3.9548564839675385e-09,1,3.9548564839675385e-09
ACTOR,3.954499061542549e-09,1,3.954499061542549e-09
Manager,1.9335538708337152e-09,2,3.8671077416674304e-09
selector,3.779606488896193e-09,1,3.779606488896193e-09
ID,1.8680402238090148e-09,2,3.7360804476180295e-09
Instant,3.722241403991689e-09,1,3.722241403991689e-09
Subscriber,3.664229794586582e-09,1,3.664229794586582e-09
serving,3.4867042586483876e-09,1,3.4867042586483876e-09
create,1.7155923123096661e-09,2,3.4311846246193323e-09
Partition,3.2570377783702753e-09,1,3.2570377783702753e-09
final,3.2570377783702753e-09,1,3.2570377783702753e-09
BACKLOG,3.2569849317543027e-09,1,3.2569849317543027e-09
Interval,3.256961228492728e-09,1,3.256961228492728e-09
plus,3.256961228492728e-09,1,3.256961228492728e-09
