Token,Attribution_Score,Frequency,Final_Importance
Duration,1.1907507513342352e-07,1,1.1907507513342352e-07
new,2.0808343326184087e-08,4,8.323337330473635e-08
Interrupted,1.5696826508732054e-08,3,4.709047952619616e-08
verify,1.6744932440637683e-08,1,1.6744932440637683e-08
Subscriber,1.6606135133656608e-08,1,1.6606135133656608e-08
stor,1.3146523647478148e-08,1,1.3146523647478148e-08
get,6.457664000758534e-09,2,1.2915328001517068e-08
blockexpression,1.0702423308694975e-08,1,1.0702423308694975e-08
println,1.0233014269278584e-08,1,1.0233014269278584e-08
Count,4.351487867954028e-09,2,8.702975735908057e-09
ATEST,8.303067566828304e-09,1,8.303067566828304e-09
Grid,3.956013100436806e-09,2,7.912026200873612e-09
await,3.778324059872106e-09,2,7.556648119744212e-09
expect,7.44219219583897e-09,1,7.44219219583897e-09
Reference,3.6068291825452903e-09,2,7.2136583650905806e-09
bridge,7.2096236897190025e-09,1,7.2096236897190025e-09
Predicates,6.980980377102597e-09,1,6.980980377102597e-09
Strict,6.9791560031173824e-09,1,6.9791560031173824e-09
Services,6.977055183599035e-09,1,6.977055183599035e-09
Other,6.977055183599035e-09,1,6.977055183599035e-09
SF,6.5159341255949235e-09,1,6.5159341255949235e-09
enting,6.5159341255949235e-09,1,6.5159341255949235e-09
channel,6.511918171359099e-09,1,6.511918171359099e-09
That,6.282882339392337e-09,1,6.282882339392337e-09
return,2.8211223669638574e-09,2,5.642244733927715e-09
Answer,5.5847843016820775e-09,1,5.5847843016820775e-09
when,5.5847843016820775e-09,1,5.5847843016820775e-09
inv,5.5847843016820775e-09,1,5.5847843016820775e-09
tables,5.535378377885536e-09,1,5.535378377885536e-09
MINUTES,5.4684346287303676e-09,1,5.4684346287303676e-09
thread,2.428841940939341e-09,2,4.857683881878682e-09
run,4.843456080649844e-09,1,4.843456080649844e-09
OSQLite,4.670475506340921e-09,1,4.670475506340921e-09
Resp,3.953664604039453e-09,1,3.953664604039453e-09
Indicator,3.7225820204156435e-09,1,3.7225820204156435e-09
long,1.8005266340381796e-09,2,3.601053268076359e-09
Throwable,1.7452041131682527e-09,2,3.4904082263365055e-09
final,3.373258734840068e-09,1,3.373258734840068e-09
DECODER,3.3150991014807567e-09,1,3.3150991014807567e-09
Computation,3.0251463417618747e-09,1,3.0251463417618747e-09
Thread,3.024300934684199e-09,1,3.024300934684199e-09
Object,3.024300934684199e-09,1,3.024300934684199e-09
DEFAULT,3.024300934684199e-09,1,3.024300934684199e-09
Observable,2.908622995234644e-09,1,2.908622995234644e-09
Down,1.451103692068356e-09,2,2.902207384136712e-09
shared,2.7919365153117326e-09,1,2.7919365153117326e-09
function,2.7919365153117326e-09,1,2.7919365153117326e-09
Equals,2.7919365153117326e-09,1,2.7919365153117326e-09
After,2.7919365153117326e-09,1,2.7919365153117326e-09
Stop,2.791662401246953e-09,1,2.791662401246953e-09
Get,2.6756058271737437e-09,1,2.6756058271737437e-09
Streamer,2.559831263626577e-09,1,2.559831263626577e-09
Power,2.559023867809707e-09,1,2.559023867809707e-09
noop,2.385168295510054e-09,1,2.385168295510054e-09
stop,2.3271193305696154e-09,1,2.3271193305696154e-09
cl,2.3269697280170476e-09,1,2.3269697280170476e-09
Data,2.0362294142484134e-09,1,2.0362294142484134e-09
byte,1.861575782413638e-09,1,1.861575782413638e-09
Exchange,1.6289835313987309e-09,1,1.6289835313987309e-09
Assertions,1.565811449250054e-09,1,1.565811449250054e-09
Timelock,1.5419918258929854e-09,1,1.5419918258929854e-09
map,1.4547092697103636e-09,1,1.4547092697103636e-09
reset,1.3962715983417693e-09,1,1.3962715983417693e-09
NT,1.3961818368102286e-09,1,1.3961818368102286e-09
Overwrite,1.338093615077529e-09,1,1.338093615077529e-09
ACHE,1.338093615077529e-09,1,1.338093615077529e-09
Descriptors,1.163767415768291e-09,1,1.163767415768291e-09
Subscription,1.0471660413791104e-09,1,1.0471660413791104e-09
Cache,1.0471363776076714e-09,1,1.0471363776076714e-09
fail,9.889856676659203e-10,1,9.889856676659203e-10
shards,9.310139326146327e-10,1,9.310139326146327e-10
Background,9.310139326146327e-10,1,9.310139326146327e-10
Service,9.310139326146327e-10,1,9.310139326146327e-10
Local,9.30787891206819e-10,1,9.30787891206819e-10
Exception,8.728255618262182e-10,1,8.728255618262182e-10
Set,8.146371910378036e-10,1,8.146371910378036e-10
scheduler,8.14462476628197e-10,1,8.14462476628197e-10
build,8.144587851366403e-10,1,8.144587851366403e-10
catch,7.82905724625027e-10,1,7.82905724625027e-10
never,7.562419787610074e-10,1,7.562419787610074e-10
Element,6.4007207867256e-10,1,6.4007207867256e-10
Then,5.799301663889088e-10,1,5.799301663889088e-10
in,5.235830206895552e-10,1,5.235830206895552e-10
Inner,4.944659091898894e-10,1,4.944659091898894e-10
atch,4.654071295018269e-10,1,4.654071295018269e-10
count,4.654071295018269e-10,1,4.654071295018269e-10
track,4.6537967923754304e-10,1,4.6537967923754304e-10
OFF,4.0722939256832014e-10,1,4.0722939256832014e-10
cluster,3.563257184972801e-10,1,3.563257184972801e-10
Tokens,3.490537650585601e-10,1,3.490537650585601e-10
Mode,3.054220444262401e-10,1,3.054220444262401e-10
Mill,3.017860677068801e-10,1,3.017860677068801e-10
List,2.908622995234644e-10,1,2.908622995234644e-10
Source,2.472329545949447e-10,1,2.472329545949447e-10
