#Test=1
Token,Attribution,Predicted_class,True_class,Test_Pred_logit,Test_confidence_score
Duration,4.656613e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
between,4.1909516e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
1500,2.3283064e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Time,1.8626451e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Time,1.6298145e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
start,1.6298145e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Alive,1.51339918e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
assert,1.3969839e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
execute,1.3969839e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
current,1.3969839e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
e,1.3969839e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Automatic,1.2223608699999998e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
task,1.1641532e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
500,1.1641532e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
get,1.0477379e-09,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
thread,9.313226e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
false,8.731149e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Stop,8.1490725e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
is,7.566996e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
1696127400000,6.984919500000003e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
start,6.9849193e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
set,6.9849193e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
thread,6.4028427e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Instance,5.820766e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
is,5.820766e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Alive,5.2386896e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
thread,5.2386895e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
L,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
task,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
void,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
thread,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Duration,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
That,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Thread,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Test,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
is,4.656613e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
false,4.3655746e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
Runnable,4.3655743999999996e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
That,3.4924597e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
thread,3.4924597e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
task,3.4924597e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
not,3.2014214e-10,[0],0,"[-0.21677902340888977, -3.1097822189331055, -2.1838555335998535, -4.413005828857422, -4.132407188415527, -4.655196666717529]",0.805107831954956
