Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
0.0,5.0,5.0,0.0,1.0,"['Thread', 'sleep', 'wait', 'RENEW_CYCLE', '60']","['File', 'PathData', 'toString', 'assertEquals', 'conf']","['conf', 'set', 'localDirAllocator', 'get', 'remove']","['Thread', 'start', 'join', 'sleep', 'wait']","['runRead', 'runWrite', 'join', 'incrementAndGet', 'get']"
1.0,1.0,0.0,2.0,5.0,"['Atomic', 'count', 'Thread', 'race', 'volatile']","['Thread', 'start', 'sleep', 'join', 'consume']","['Thread', 'sleep', '10', 'start', 'wait']","['SDK', 'LOLLIPOP', 'NanoTime', 'assertEquals', 'assertNotEquals']","['ArrayList', 'JsonUtil', 'writeValueAsString', 'MetricResponse', 'fromMetric']"
2.0,0.0,5.0,1.0,5.0,"['Date', 'format', 'parse', 'January', '1970']","['await', 'dispatcher', 'await', 'await', 'await']","['get', 'build', 'generate', 'assert', 'has']","['Atomic', 'count', 'increment', 'volatile', 'race']","['mockNode', 'ImmutableSet', 'ImmutableList', 'Set', 'containsExactlyInAnyOrder']"
5.0,1.0,1.0,0.0,1.0,"['assertTrue', 'instanceof', 'JndiPermission', 'ACTION_CREATE_SUBCONTEXT', 'namingContext']","['Thread', 'lock', 'sweepers', 'shards', 'wait']","['Thread', 'start', 'wait', 'state', 'runs']","['Awaitility', 'await', 'until', 'get', 'set']","['Thread', 'lock', 'synchronized', 'race', 'volatile']"
5.0,2.0,0.0,5.0,0.0,"['Enum', 'class', 'List', 'Assert', 'equals']","['System', 'currentTime', 'millis', 'second', 'zone']","['Task', 'get', '10', 'SECONDS', 'whenTaskFinished']","['ImmutableMap', 'Multimaps', 'JSON', 'assertEquals', 'forMap']","['Duration', 'ofSeconds', '2', 'waitFor']"
1.0,2.0,0.0,3.0,5.0,"['Thread', 'start', 'join', 'AtomicReference', 'AtomicInteger']","['System', 'nano', 'time', 'zone', 'precision']","['Thread', 'sleep', 'wait', 'async', 'wait']","['expectedBodiesReceivedInAnyOrder', 'headerValuesReceivedInAnyOrder', 'spliterator', 'stream', 'false']","['serialize', 'objectMapper', 'writeValueAsString', 'deserializeContext', 'assertEquals']"
1.0,2.0,0.0,3.0,5.0,"['Thread', 'sleep', '100', 'List', 'synchronized']","['System', 'currentTime', 'millis', 'second', 'zone']","['await', 'TimeUnit', 'SECONDS', 'latch', 'timer']","['Set', 'iterator', 'next', 'unordered', 'collection']","['bind', 'lookup', 'permission', 'naming', 'context']"
2.0,0.0,1.0,0.0,0.0,"['System', 'currentTime', 'millis', 'second', 'zone']","['Awaitility', 'sleep', 'wait', 'async', 'timeout']","['Thread', 'lock', 'synchronized', 'race', 'volatile']","['join', 'await', 'poll', 'isDone', 'Future']","['Thread', 'sleep', '2000', '100', '1000']"
1.0,0.0,5.0,0.0,2.0,"['services', 'executeOperation', 'ModelNode', 'addOp', 'compositeOp']","['await', 'CountDownLatch', 'notify', 'repair', 'start']","['System', 'out', 'PrintStream', 'isSameAs', 'assertThat']","['save', 'async', 'wait', 'then', 'assert']","['System', 'currentTime', 'millis', 'time', 'zone']"
5.0,1.0,5.0,0.0,1.0,"['FileSystem', 'get', 'URI', 'Configuration', 'resetFileSystem']","['Thread', 'start', 'stop', 'shutdown', 'terminated']","['deserialize', 'HealthCheckerFactory', 'assertEquals', 'TestChecker', 'class']","['sleep', 'Uninterruptibles', 'Time', '3', 'seconds']","['Thread', 'sleep', 'interrupted', 'race', 'volatile']"
0.0,5.0,0.0,5.0,0.0,"['onOpen', 'db', 'async', 'wait', 'callback']","['lookup', 'naming', 'context', 'instanceof', 'permission']","['bind', 'lookup', 'async', 'wait', 'result']","['assert', 'size', 'get', 'assertEquals', 'List']","['setTimeout', '30', 'requestRead', 'handleFailure']"
0.0,0.0,0.0,0.0,5.0,"['runOnMainSync', 'sleep', '100', 'wait', 'async']","['wait', 'for', '5', 'Time', 'minutes']","['runWithRate', 'RateLimiting', 'DEFAULT_MAX_PARALLELISM', 'DelayFn', 'ms']","['await', 'until', 'then', 'wait', 'async']","['ByteArray', 'InputStream', 'readBytes', 'assert', '0']"
1.0,1.0,1.0,0.0,1.0,"['Thread', 'start', 'interrupt', 'kill', 'resurrection']","['Thread', 'NUM_THREADS', 'scaledRandomIntBetween', 'concurrent', 'requests']","['lookup', 'initialContext', 'instanceof', 'NamingContext', 'Context']","['wait', '1000', 'notify', 'Object', 'synchronized']","['synchronized', 'race', 'lock', 'Thread', 'wait']"
2.0,5.0,5.0,2.0,0.0,"['Thread', 'sleep', '10', '2', 'TWO_MINUTES_IN_MILLIS']","['findMethod', 'allAnnotations', 'assertEquals', 'annotationType', 'getClass']","['set', 'property', 'lookup', 'instanceof', 'NamingManager']","['now', 'DateTime', 'UTC', 'millis', 'zone']","['Thread', 'sleep', '1000', 'wait', 'join']"
