Predictions_Fold_0,Predictions_Fold_1,Predictions_Fold_2,Predictions_Fold_3,Predictions_Fold_4,Tokens_Fold_0,Tokens_Fold_1,Tokens_Fold_2,Tokens_Fold_3,Tokens_Fold_4
0.0,5.0,0.0,0.0,0.0,"['Thread', 'sleep', 'RENEW_CYCLE', 'assertTrue', 'break']","['PathData', 'new', 'assertEquals', 'toFile', 'testDir']","['LocalDirAllocator', 'getLocalPathForWrite', 'conf', 'assertTrue', 'isContextValid']","['createConnection', 'start', 'join', 'send', 'waitFor']","['runRead', 'runWrite', 'join', 'incrementAndGet', 'get']"
0.0,0.0,0.0,2.0,5.0,"['assertEventually', 'Thread.sleep', 'await', 'timeout', 'Milliseconds']","['Thread', 'start', 'sleep', 'join', 'send']","['startTimer', 'Thread.sleep', 'verify', 'assertThat', 'size']","['nanoTime', 'assertNotEquals', 'mRecyclerView', 'SDK_INT', 'Lollipop']","['testToMetricResponse', 'assertEquals', 'expected', 'json', 'Metric']"
2.0,0.0,1.0,0.0,3.0,"['current', 'format', 'parse', 'format', 'current']","['await', 'sendRequest', 'schedule', 'await', 'checkAssignments']","['Thread', 'synchronize', 'race', 'atomic', 'deadlock']","['scheduleRecurring', 'assertEventually', 'timeout', 'DEFAULT_TIMEOUT_MS', 'MILLISECONDS']","['ImmutableList', 'HashSet', 'iterator', 'next', 'add']"
5.0,1.0,0.0,0.0,0.0,"['assertTrue', 'createSubcontext', 'CompositeName', 'namingContext', 'instanceOf']","['Thread', 'synchronize', 'lock', 'race', 'condition']","['deploy', 'waitState', 'startProgram', 'verifyProgramRuns', 'getProgramRuns']","['Awaitility', 'await', 'until', 'get', 'verify']","['await', 'TimeUnit', 'seconds', 'fireEvent', 'CompositeName']"
5.0,2.0,0.0,5.0,0.0,"['List', 'String', 'assertEquals', 'CollUtil', 'newArrayList']","['System.currentTimeMillis', 'System', 'millis', 'time', 'UTC']","['addPage', 'whenTaskFinished', 'assertEventually', 'get', 'close']","['test', 'multimap', 'assertEquals', 'JSON', 'inverted']","['waitFor', 'GenericTestUtils', 'Duration', 'ofSeconds', '2']"
1.0,2.0,2.0,3.0,0.0,"['Thread', 'start', 'join', 'condition', 'check']","['nanoStart', 'nanoStop', 'System.nanoTime()', 'iterations', 'assertTrue']","['sleep', '6000', '5000', 'max lifetime', 'expire']","['in', 'any', 'order', 'header', 'values']","['writeValueAsString', 'writeValueAsString', 'serializeWith', 'serializeWith', 'await']"
0.0,2.0,0.0,3.0,0.0,"['Thread', 'sleep', '100', 'while', 'loop']","['System.currentTimeMillis', '-', '+', 'analyzeResult']","['await', 'TimeUnit.SECONDS', 'assertTrue', 'count()', 'timer']","['Sets', 'newHashSet', 'iterator', 'next', 'order']","['lookup', 'result', 'await', 'equals', 'assertEquals']"
2.0,0.0,1.0,0.0,0.0,"['System.currentTimeMillis', '-', '+', 'analyzeResult']","['await', 'poll', 'Duration', 'sleep', 'TimeUnit']","['Thread', 'synchronized', 'lock', 'race', 'atomic']","['await', 'join', 'poll', 'TimeUnit.SECONDS', 'isDone']","['Thread', 'sleep', '2000', 'Thread', 'sleep', '100']"
0.0,0.0,5.0,0.0,2.0,"['execute', 'Operation', 'composite', 'build', 'getOperation']","['await', 'Thread', 'proxy.notify', 'startRepair', 'Thread.currentThread().interrupt']","['test', 'Logback', 'StatusPrinter', 'PrintStream', 'System.out']","['save', ';', 'save', 'iterator', 'next']","['System.currentTimeMillis', '-', '+', 'analyzeResult']"
0.0,2.0,5.0,0.0,0.0,"['get', 'await', 'defaultPort', 'securePort', 'canonicalServiceName']","['sleep', '1000', 'Assert', 'shutdown', 'terminated']","['testDeserializeExtend', 'assertEquals', 'getClass', 'HealthCheckerFactory', 'deserialize']","['sleepUninterruptibly', 'TimeUnit.SECONDS', 'Uninterruptibles', 'sleep', '3']","['await', 'TIME_OUT_MS', 'call', 'Thread.sleep', 'InterruptedException']"
0.0,0.0,5.0,5.0,0.0,"['generateCleanupCallback', 'onOpen', 'db', 'WorkDatabase', 'callback']","['lookup', 'throw', 'Exception', 'assertTrue', 'instanceof']","['test', 'bind', 'lookup', 'assertTrue', 'assertEquals']","['validate', 'assertEquals', 'get', 'size', 'assertEquals']","['timeout', 'set', 'millis', 'request', 'handleFailure']"
